scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
102,30,True,1.0,70,0.7080734987375944,1.6901628684999963,19,True,28.0,25.0,3.0,False,26.0,2.0,False,26.0,2.0,False,26.0,2.0,False,,,False
103,30,False,2.0,70,0.6753471020048532,2.8600541180455883,-1,False,,,,False,,,False,,,False,,,False,,,False
104,30,False,1.0,65,0.3562507909339433,1.5219825335326767,-1,False,,,,False,,,False,,,False,,,False,,,False
105,30,True,2.5,65,0.38193877411709787,1.876166925623135,18,False,,26.0,,True,26.0,,True,,,False,,,False,,,False
106,30,False,1.5,65,0.5679266824650941,1.5648798741002277,-1,False,,22.0,,True,,,False,,,False,,,False,,,False
107,30,True,1.5,75,0.5658802459031348,2.553921497718383,10,True,21.0,12.0,9.0,False,13.0,8.0,False,15.0,6.0,False,22.0,-1.0,False,23.0,-2.0,False
108,30,True,2.0,75,0.641862872501392,2.4619791076470845,11,True,17.0,12.0,5.0,False,13.0,4.0,False,13.0,4.0,False,17.0,0.0,False,22.0,-5.0,False
109,30,True,2.5,75,0.47403415255932985,2.8225122764923745,18,True,18.0,14.0,4.0,False,15.0,3.0,False,18.0,0.0,False,18.0,0.0,False,20.0,-2.0,False
110,30,True,2.5,70,0.6381668901009536,2.84952324761121,18,True,20.0,18.0,2.0,False,18.0,2.0,False,18.0,2.0,False,19.0,1.0,False,19.0,1.0,False
111,30,True,1.0,75,0.7274766433466897,2.4307308667765115,10,True,29.0,27.0,2.0,False,28.0,1.0,False,28.0,1.0,False,29.0,0.0,False,,,False
112,30,True,1.5,65,0.40110322002166227,1.5446237071048987,13,True,21.0,17.0,4.0,False,17.0,4.0,False,18.0,3.0,False,21.0,0.0,False,24.0,-3.0,False
113,30,True,2.0,75,0.4625875748425184,2.4244074531046036,14,False,,29.0,,True,,,False,,,False,,,False,,,False
114,30,True,2.0,75,0.678833071767603,2.8133710029516714,16,False,,27.0,,True,28.0,,True,,,False,,,False,,,False
115,30,False,2.0,75,0.5785885688603294,2.0559328941289903,-1,False,,,,False,,,False,,,False,,,False,,,False
116,30,True,2.0,65,0.42959339564570803,2.3310555618908215,21,False,,5.0,,True,,,False,,,False,,,False,,,False
117,30,True,2.5,65,0.5210514466221672,2.2532987745217268,18,False,,,,False,,,False,,,False,,,False,,,False
118,30,False,1.0,70,0.7442979227980637,1.6342267455570512,-1,False,,,,False,,,False,,,False,,,False,,,False
119,30,False,1.0,70,0.37103672439767715,2.6128351548893356,-1,False,,,,False,,,False,,,False,,,False,,,False
